id,name,price,category,brand,description
1,"Public Health Advisor","$60,000 - $80,000",Health,"Health Department","Responsible for advising on public health policies and programs to improve the health of the community"  
2,"Environmental Scientist","$55,000 - $75,000",Environmental,"Environmental Protection Agency","Conduct research and analysis to protect the environment and human health"  
3,"Urban Planner","$65,000 - $85,000",Urban Development,"Department of Urban Development","Develop plans and programs for land use in urban areas to create communities, accommodate growth, and revitalize physical facilities"  
4,"Human Resources Specialist","$50,000 - $70,000",Human Resources,"Human Resources Department","Manage recruitment, hiring, and employee relations within a government agency"  
5,"Government Affairs Manager","$80,000 - $100,000",Government Relations,"Government Affairs Office","Oversee interactions between government agencies and external stakeholders, including lobbying and advocacy"  
6,"Policy Analyst","$60,000 - $85,000",Policy,"Policy and Planning Department","Analyze and develop policies related to various governmental functions"  
7,"Social Worker","$45,000 - $65,000",Social Services,"Department of Social Services","Provide support and resources to individuals and families in need, particularly within government programs"  
8,"Public Affairs Specialist","$55,000 - $75,000",Communications,"Public Affairs Office","Manage communication between the government agency and the public, including media relations"  
9,"Transportation Planner","$70,000 - $90,000",Transportation,"Department of Transportation","Plan and coordinate transportation systems and infrastructure projects"  
10,"Financial Analyst","$65,000 - $85,000",Finance,"Finance Department","Analyze financial data and provide recommendations for budget and financial planning within a government agency"  
11,"Public Relations Officer","$50,000 - $70,000",Communications,"Public Relations Office","Manage and oversee public relations activities and ensure effective communication with the public"  
12,"Budget Analyst","$60,000 - $80,000",Finance,"Budget Office","Analyze budget proposals and financial reports to determine the allocation of funds"  
13,"Emergency Management Director","$70,000 - $95,000",Emergency Management,"Emergency Management Agency","Develop plans and procedures for responding to natural disasters and other emergencies"  
14,"IT Specialist","$55,000 - $75,000",Information Technology,"Information Technology Department","Provide technical support and manage IT systems within a government agency"  
15,"Administrative Officer","$45,000 - $65,000",Administration,"Administrative Services","Oversee administrative functions and support services within a government office"  
16,"Legal Advisor","$75,000 - $100,000",Legal,"Legal Department","Provide legal advice and support to government agencies and officials"  
17,"Public Safety Officer","$50,000 - $70,000",Public Safety,"Public Safety Department","Ensure the safety and security of the public through law enforcement and emergency response"  
18,"Health Inspector","$55,000 - $75,000",Health,"Health Department","Conduct inspections of public facilities to ensure compliance with health and safety regulations"  
19,"Research Scientist","$65,000 - $85,000",Research,"Research and Development","Conduct scientific research to inform public policy and programs"  
20,"Communications Coordinator","$50,000 - $70,000",Communications,"Communications Office","Coordinate communication strategies and public information campaigns"  
